id_muestra,seed_id,dialecto_region,texto_dialectal,traduccion,contexto_uso,calificacion,comentario
1,sem-006,Caribeña,"—¿Qué más, pues? —dijo el amigo mientras se sentaban bajo la sombra de la palma.",—What’s up? —he said to his buddy as they sat under the palm shade.,"dos amigos conversando casualmente en la playa, tono relajado y amistoso",correcta,"[piloto IA] Traduccion fiel del saludo, tono y tiempo/lugar preservados."
2,sem-007,Caribeña,"No me creías, pero la película está brutal, está de primera.","I know you didn't believe it, but the movie is amazing, top-notch.","Un joven explica a su compañero de clase lo buena que está la película, tono casual",parcial,"[piloto IA] ""No me creias"" (=no me creiste a mi) se tradujo como ""I know you didn't believe it"", cambia el objeto de la incredulidad; el nucleo de jerga (""esta brutal""->""is amazing"") si quedo bien."
3,sem-007,Caribeña,"La comida del nuevo restaurante está brutal, ¡ya quiero volver!","The food at the new restaurant is amazing, I already want to go back!","Una mujer habla con su amiga al terminar de cenar, tono de admiración",correcta,"[piloto IA] Traduccion natural y fiel, registro coloquial conservado."
4,sem-008,Caribeña,"¡Erda la vaina! Me contó la profesora que la fecha de entrega cambiaba, y yo ya había terminado mi trabajo.","Damn, what a mess! The teacher told me the deadline had changed, and I had already finished my work.",Estudiante de universidad expresando sorpresa ante un cambio de última hora.,,
5,sem-008,Caribeña,"¡Erda la vaina! Cuando el conductor dejó el bus sin avisar y el grupo se dispersó, todos gritamos.","Damn, what a mess! When the driver left the bus without warning and the group dispersed, everyone shouted.",Viajeros en una parada de transporte que se desorganizan por un fallo inesperado.,,
6,sem-009,Caribeña,"¡Qué pasa, Ana! Cuando Juan se le voló la piedra y empezó a gritar en medio del concierto.","What’s up, Ana! When Juan totally lost it and started yelling in the middle of the concert.","Amiga hablándole a otra amiga, con tono de sorpresa y algo de humor.",,
7,sem-012,Caribeña,"La verdad es que estoy salado, la tormenta me dejó sin luz en casa y no pude terminar el proyecto.","The truth is I'm unlucky, the storm left me without power at home and I couldn't finish the project.",una persona describe sus contratiempos a un colega durante una videollamada,,
8,sem-014,Caribeña,¡Mira lo que pasó! Eso es un peo total con el jefe.,Look what happened! That's a total mess with the boss.,un empleado le comenta a un compañero de trabajo sobre una situación complicada con el jefe.,,
9,sem-015,Caribeña,"Apenas me sale la cuenta, parece que estoy en la olla.","I barely make ends meet, it feels like I'm in a bind.",Un estudiante comentando en tono resignado con un compañero sobre su situación económica,,
10,sem-016,Andina,"—¿Listo para el partido? ——¡Qué chimba, compadre, vamos a ganar!","Ready for the match? —Yeah, that's awesome, buddy, we're gonna win!",Dos compañeros de equipo motivándose antes de un juego.,correcta,"[piloto IA] Fiel y natural, ""que chimba""->""that's awesome"" mantiene el entusiasmo."
11,sem-016,Andina,"Che, ¡qué chimba tu nuevo look! Se ve increíble.","Hey, that's awesome your new look! It looks incredible.",Un amigo observando el nuevo estilo de otro amigo en una reunión casual.,incorrecta,"[piloto IA] Mezcla de dialecto: ""Che"" es un marcador tipicamente Rioplatense inyectado en una variante etiquetada como Andina, violando la regla de no mezclar dialectos de generation/prompt_derivacion.md. Ademas la traduccion ""that's awesome your new look"" es gramaticalmente torpe en ingles (falta puntuacion/conector)."
12,sem-016,Andina,¡Qué chimba! El resultado del examen superó mis expectativas.,That's awesome! The exam result exceeded my expectations.,Un estudiante compartiendo su éxito con un compañero.,correcta,"[piloto IA] Traduccion limpia y fiel, sin mezcla de dialecto."
13,sem-017,Andina,"¡Parcero, cómo te va la vida en la ciudad!","Buddy, how's life going in the city?","Un amigo de la infancia saludando a otro que acaba de mudarse a la ciudad, tono amistoso y casual",,
14,sem-020,Andina,"Mamá, antes de que la familia llegue, ponte las pilas y lava la ropa.","Mom, before the family arrives, get your act together and wash the laundry.",Un hijo le habla a su madre mientras prepara la casa para una visita,,
15,sem-021,Andina,"Al toque, revisa el documento que te envié.","Immediately, check the document I sent you.","profesor andino a un estudiante a través de un correo electrónico, tono autoritativo y directo",,
16,sem-022,Andina,"¡Oye, ya no me llames, estoy en el jato y no quiero interrupciones!","Hey, don't call me, I'm at home and I don't want interruptions!",Una persona molesta que no quiere ser molestada en su casa,,
17,sem-023,Andina,"Causa, no me digas que vas a faltar a la reunión.","Buddy, don't tell me you're going to skip the meeting.","Un joven se queja a otro compañero, tono de molestia.",,
18,sem-023,Andina,"Causa, no me dejes esperando tanto tiempo.","Buddy, don't keep me waiting that long.",Un joven expresa frustración leve a un amigo que se retrasa.,,
19,sem-026,Rioplatense,"Che boludo, no te olvides de pagar la factura.","Hey, buddy, don't forget to pay the bill.",Un compañero de trabajo le recuerda a otro sobre un compromiso financiero.,correcta,"[piloto IA] ""Che boludo"" suavizado a ""Hey, buddy"", apropiado para el contexto de recordatorio laboral."
20,sem-026,Rioplatense,"Che, boludo, la última película la viste?","Hey, dude, did you see the latest movie?",Un colega pregunta a otro sobre una actividad de ocio después de un día de trabajo.,correcta,"[piloto IA] Traduccion natural, ""boludo""->""dude"" funciona bien en contexto informal entre colegas."
21,sem-028,Rioplatense,"Che, la reunión de hoy está re piola, no te preocupes.","Hey, today's meeting is really chill, don't worry.",Un colega le dice a otro para calmarlo antes de una reunión,correcta,"[piloto IA] Buen equivalente coloquial: ""re piola""->""really chill"" conserva el registro."
22,sem-028,Rioplatense,"La fiesta de cumpleaños de Marta está re piola, vamos a pasarla genial.","Marta's birthday party is really cool, we're going to have a blast.",Un grupo de amigos habla de la fiesta con entusiasmo,,
23,sem-028,Rioplatense,"El nuevo proyecto con el cliente está re piola, nada de estrés.","The new client project is really easy-going, no stress.",Un profesional le comenta a un compañero sobre el trabajo,,
24,sem-031,Rioplatense,"Che, ¿todo bien? ¡Ya vos sabés que traigo el mate!","Hey, everything good? You know I'm bringing the mate!","Un grupo de amigos que se reencuentran en una cafetería, tono humorístico y entusiasta.",,
25,sem-032,Rioplatense,"Che, después de esa reunión, estoy hecho percha, no puedo ni pensar en nada.","Dude, after that meeting I'm totally wrecked, I can't even think about anything.",amigo que habla a otro amigo sobre la fatiga tras una reunión larga,,
26,sem-032,Rioplatense,"¡Estoy hecho percha! Si me sigo así, me voy a quedar dormido en el auto.","I'm wiped out! If I keep going like this, I'll fall asleep in the car.",amigo que bromea con otro sobre su cansancio extremo,,
27,sem-033,Rioplatense,"Sos un capo, la verdad, me impresiona tu capacidad de resolver problemas de manera tan rápida.","You’re a genius, truly, I’m impressed by how quickly you solve problems.",Un estudiante de secundaria felicitando a su profesor por aclarar una duda compleja,,
28,sem-038,Mexicana,"¿Qué onda, jefe? Estoy listo para entregar el informe.","What's up, boss? I'm ready to submit the report.","un empleado le saluda a su superior antes de presentar trabajo, tono respetuoso pero coloquial",correcta,[piloto IA] Fiel y con el tono semi-formal/coloquial correcto para hablarle a un jefe.
